;id;clustering;eval_method;optimization;optuna_trials;normalization;scaler;dim_red;reduction_params;dimensions;embeddings;n_clusters;best_params;centers;labels;label_counter;noise_not_noise;score_noise_ratio;penalty;penalty_range;score_w_penalty;score_w/o_penalty
0;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1};2;"              0          1
0     -0.752031   6.388787
1     -0.765217   6.401985
2     -0.751006   6.388394
3     -0.708210   6.370654
4     -0.708633   6.364248
...         ...        ...
5061  13.844660  -5.595735
5062   4.112927  14.009040
5063   4.151424  14.052407
5064   6.682580   2.591191
5065   4.155075  14.046568

[5066 rows x 2 columns]";51;{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_epsilon': 0.8360442063830561, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};"[[ 18.959402     1.9316821 ]
 [ -7.7272277   11.499067  ]
 [-10.302416     5.5560846 ]
 [ -5.560385    -9.989885  ]
 [ -8.54926      1.2106957 ]
 [-10.603402    -0.5046203 ]
 [  6.0300317   20.075079  ]
 [  4.153747    21.109314  ]
 [ -3.8714619   -1.0440133 ]
 [ -4.85258     -3.4867473 ]
 [ -4.187428    -5.7805557 ]
 [ 10.438707    -9.944741  ]
 [ 10.97437    -10.805762  ]
 [ 19.94789     -2.4619248 ]
 [ 17.272995    -3.4528663 ]
 [ 15.526407    -4.3483315 ]
 [ 12.00674      7.669473  ]
 [ 17.249825     6.8217773 ]
 [ 14.486531     6.6953363 ]
 [  7.253547    -6.531334  ]
 [ -3.800341    11.956702  ]
 [ 12.395977    -1.2066878 ]
 [ 14.528677    -0.99669504]
 [ 12.320248    -3.52452   ]
 [ 14.226032    -6.0419292 ]
 [ 11.4715805    4.4993916 ]
 [ -4.758608    -7.443378  ]
 [ -3.1814616   -7.863468  ]
 [  3.5651007  -10.889239  ]
 [ -0.7520307    6.388787  ]
 [  5.1232204   -3.6018534 ]
 [  5.8999896   -2.747174  ]
 [  1.9038862   -0.47061086]
 [  2.724748    -0.8445694 ]
 [ -0.76271814  -6.4590936 ]
 [  0.24065976  -5.35668   ]
 [  2.6269495   -9.682296  ]
 [ -4.396813     9.155937  ]
 [ -2.5089443    9.520856  ]
 [  0.80134785  17.253763  ]
 [  3.0546172   -7.9484887 ]
 [  5.0801806   -6.4327946 ]
 [  8.773662    17.807137  ]
 [  9.922403    18.449064  ]
 [  4.952615    14.932622  ]
 [  4.1445117   14.049207  ]
 [  1.2951355    4.70681   ]
 [  6.432924    16.302322  ]
 [ 11.697062    14.32839   ]
 [  2.4164796   13.881746  ]
 [  9.944977     9.2308855 ]]";[29 29 29 ... 45 50 45];Counter({50: 2034, 48: 314, 41: 308, 19: 298, 35: 294, 46: 189, 39: 143, 31: 139, 8: 123, 22: 112, 27: 110, 38: 88, 24: 77, 2: 71, 36: 68, 23: 59, 20: 58, 33: 50, 21: 40, 18: 37, 40: 30, 37: 29, 42: 28, 34: 27, 10: 27, 43: 26, 5: 24, 45: 22, 25: 21, 12: 20, 9: 16, 29: 15, 47: 15, 28: 14, 11: 14, 16: 13, 3: 12, 30: 12, 26: 9, 6: 8, 17: 8, 32: 8, 7: 8, 13: 8, 49: 7, 0: 7, 44: 6, 1: 6, 15: 5, 4: 5, 14: 4});{-1: 0, 1: 5066};2.617499727047912;;;0.38204397489195824;0.38204397489195824
1;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.3};2;"              0          1
0      7.928305 -14.251836
1      7.937563 -14.259551
2      7.906851 -14.228859
3      7.754856 -14.089266
4      7.773142 -14.116497
...         ...        ...
5061   1.603191  -1.756169
5062  -2.596089  12.403819
5063  -2.722456  12.348127
5064  12.859814   3.050602
5065  -2.692896  12.332832

[5066 rows x 2 columns]";16;{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_epsilon': 1.4373609708564605, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};"[[ -3.4095194  21.957926 ]
 [ -8.831862   11.480521 ]
 [ 15.754641   16.264116 ]
 [ 19.176525   -1.6172645]
 [-10.254634   -0.5152303]
 [-12.286485    1.2115035]
 [  7.7751627 -14.116978 ]
 [ 20.218632    2.5640676]
 [ -5.3020186  -8.0504   ]
 [ 17.234133    5.0026445]
 [ -5.0144463  10.199055 ]
 [ 15.873671    1.8061454]
 [  8.566263    0.9109615]
 [  5.010902   -0.9500733]
 [ -2.8392918  -8.26034  ]
 [  6.0960627  -6.065079 ]]";[ 6  6  6 ... 12 12 12];Counter({12: 2993, 14: 949, 15: 894, 1: 71, 2: 26, 5: 24, 8: 20, 9: 17, 6: 15, 13: 15, 10: 9, 0: 8, 7: 8, 3: 7, 11: 5, 4: 5});{-1: 0, 1: 5066};2.207202232941865;;;0.45306224553205166;0.45306224553205166
2;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.5};2;"              0         1
0      6.274471  0.762994
1      6.300350  0.674872
2      6.246789  0.764105
3      6.530052  1.018507
4      6.493238  0.969991
...         ...       ...
5061   1.076706 -0.217780
5062  15.023097  9.810798
5063  15.246072  9.965201
5064  -1.533725  3.971504
5065  15.118710  9.964840

[5066 rows x 2 columns]";6;{'min_cluster_size': 5, 'min_samples': 3, 'cluster_selection_epsilon': 2.949128135452618, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-13.564416   10.125787 ]
 [ 21.789999   -2.6593516]
 [ -5.5842414  21.505886 ]
 [ 21.43399     2.368941 ]
 [-13.445437    2.4199553]
 [ -5.1487255   3.7433043]]";[5 5 5 ... 5 5 5];Counter({5: 4943, 4: 76, 0: 24, 2: 8, 3: 8, 1: 7});{-1: 0, 1: 5066};2.1384165477440025;;;0.4676357377869083;0.4676357377869083
3;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.7};2;"              0          1
0     14.239385   2.277143
1     14.359844   2.302327
2     14.313950   2.480016
3     13.865978   2.342415
4     14.014550   2.186713
...         ...        ...
5061   7.454552  -0.242342
5062   2.604991  13.560258
5063   2.884245  13.313837
5064   5.987395  13.670469
5065   2.827079  12.663314

[5066 rows x 2 columns]";7;{'min_cluster_size': 7, 'min_samples': 4, 'cluster_selection_epsilon': 2.7809961676094304, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-15.016564    -0.30058524]
 [ 20.277786     2.6100905 ]
 [ 17.840559     0.6688852 ]
 [  2.4450839   19.981096  ]
 [ -8.317675    -4.8645296 ]
 [  0.11997224  21.666502  ]
 [  7.285885    -6.019444  ]]";[6 6 6 ... 6 6 6];Counter({6: 4987, 0: 24, 4: 14, 3: 9, -1: 9, 5: 8, 1: 8, 2: 7});{-1: 9, 1: 5057};18.221319620467895;;;0.54880767190797;0.54880767190797
4;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.1};2;"              0         1
0     -3.911155 -0.945854
1     -3.946940 -0.978804
2     -3.925099 -0.961435
3     -3.910108 -0.970848
4     -3.879800 -0.966904
...         ...       ...
5061  11.361909 -5.927205
5062   0.363042 -1.026752
5063   0.370703 -1.026765
5064  -0.347400 -1.928453
5065   0.347221 -1.054494

[5066 rows x 2 columns]";10;{'min_cluster_size': 6, 'min_samples': 3, 'cluster_selection_epsilon': 1.7864481050244634, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[10.249899  12.560013 ]
 [-0.9175046 10.242106 ]
 [ 1.6539271  9.651105 ]
 [-9.05684    9.609193 ]
 [-4.8953323 -5.546414 ]
 [-7.963458  -0.8405187]
 [ 5.2952003  2.358168 ]
 [14.071715   4.9378347]
 [12.955207   5.03698  ]
 [10.9610405 -6.3029633]]";[5 5 5 ... 5 5 5];Counter({5: 3025, 9: 1568, 8: 161, 7: 123, 0: 68, 6: 36, 4: 35, 1: 24, 2: 17, 3: 9});{-1: 0, 1: 5066};2.2513183699000137;;;0.444184178199733;0.444184178199733
5;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.3};2;"              0         1
0     -5.362170  0.541292
1     -5.377259  0.500114
2     -5.352408  0.514327
3     -5.414084  0.523784
4     -5.441545  0.451261
...         ...       ...
5061  14.287604 -1.218065
5062   3.387922 -1.028912
5063   3.497643 -1.035864
5064   3.403006 -2.230891
5065   3.434062 -1.128045

[5066 rows x 2 columns]";5;{'min_cluster_size': 2, 'min_samples': 4, 'cluster_selection_epsilon': 2.241064090708082, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[10.501391   10.624075  ]
 [-3.4854624  10.769869  ]
 [ 0.96502686  7.613599  ]
 [-1.1603096  -5.0153794 ]
 [12.3831005   6.6093264 ]]";[3 3 3 ... 3 3 3];Counter({3: 3075, 4: 1890, 0: 68, 2: 24, 1: 9});{-1: 0, 1: 5066};2.151806499987678;;;0.4647258013235513;0.4647258013235513
6;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.5};2;"             0         1
0    -3.740276 -1.635952
1    -3.896847 -1.669407
2    -3.777284 -1.682602
3    -3.707377 -1.603224
4    -3.533389 -1.777413
...        ...       ...
5061  9.145150  1.940653
5062  1.798579 -1.246553
5063  1.759827 -1.306977
5064  0.687398 -1.938663
5065  1.565633 -1.242617

[5066 rows x 2 columns]";6;{'min_cluster_size': 5, 'min_samples': 3, 'cluster_selection_epsilon': 1.4646383096995845, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-12.753719    -0.10837786]
 [  8.969193     9.926984  ]
 [ -5.292945    11.64317   ]
 [ -1.6411946   10.679029  ]
 [  3.9432979   -2.1226554 ]
 [ 10.3315935    1.2857982 ]]";[4 4 4 ... 4 4 4];Counter({4: 3072, 5: 1851, 1: 68, 3: 35, 0: 24, 2: 16});{-1: 0, 1: 5066};2.0117621229759397;;;0.4970766615889605;0.4970766615889605
7;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.7};2;"              0         1
0     -2.911441 -2.347928
1     -3.142751 -2.330042
2     -2.961395 -2.328443
3     -2.693868 -2.470272
4     -2.582625 -2.620158
...         ...       ...
5061  12.857137 -0.579048
5062   2.990607 -1.108415
5063   2.919548 -1.254602
5064   1.597660 -1.719356
5065   2.673033 -0.999860

[5066 rows x 2 columns]";5;{'min_cluster_size': 7, 'min_samples': 2, 'cluster_selection_epsilon': 0.8613539979017396, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};"[[ 9.346469    9.134198  ]
 [ 2.1528597  -4.40288   ]
 [ 6.3655133   6.782355  ]
 [-6.921873    7.76288   ]
 [11.9233885   0.19112767]]";[3 3 3 ... 3 3 3];Counter({3: 3084, 4: 1889, 0: 68, 2: 16, 1: 9});{-1: 0, 1: 5066};1.7339687139102864;;;0.5767116741944508;0.5767116741944508
8;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};2;"              0         1
0     14.599807  7.264330
1     14.639513  7.279941
2     14.680448  7.275577
3     14.541838  7.219873
4     14.576448  7.165841
...         ...       ...
5061  -3.922221  8.993349
5062   8.287365  3.988929
5063   8.313681  3.955584
5064   8.495275  3.022640
5065   8.318240  3.953614

[5066 rows x 2 columns]";7;{'min_cluster_size': 7, 'min_samples': 3, 'cluster_selection_epsilon': 2.113497429441764, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[ 8.414358  12.02001  ]
 [10.112793  19.501379 ]
 [-1.275759  -1.9082947]
 [-3.6868289  8.67432  ]
 [18.640472   2.0787487]
 [14.884755  15.618271 ]
 [ 9.367521  14.5551815]]";[6 6 6 ... 6 6 6];Counter({6: 2914, 3: 1851, 5: 141, 2: 69, 1: 34, 4: 33, 0: 24});{-1: 0, 1: 5066};2.229926426752778;;;0.4484452885991407;0.4484452885991407
9;29;hdbscan;davies_bouldin;optuna;200;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.3};2;"              0         1
0     14.020090  7.863700
1     14.078484  7.915953
2     14.171982  7.857776
3     13.993324  7.700389
4     14.045193  7.624065
...         ...       ...
5061  -2.991474  8.916498
5062   6.721559  4.353616
5063   6.620665  4.459546
5064   5.809960  4.356051
5065   6.559901  4.480958

[5066 rows x 2 columns]";3;{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_epsilon': 2.9809461208915686, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};"[[-1.9102371 -2.2033236]
 [-9.162518   6.994907 ]
 [14.175062   2.60732  ]]";[2 2 2 ... 2 2 2];Counter({2: 3145, 1: 1852, 0: 69});{-1: 0, 1: 5066};2.2127626926732815;;;0.4519237437033434;0.4519237437033434
