cluster;total_img;predominant_category;success_percent;homogeneity_k;entropy_k;category_llava;count
0;51;LANDFORMS;100.0;1.0;0.0;LANDFORMS;51
1;31;LANDFORMS;100.0;1.0;0.0;LANDFORMS;31
2;92;LANDFORMS;100.0;1.0;0.0;LANDFORMS;92
3;34;LANDFORMS;100.0;1.0;0.0;LANDFORMS;34
4;30;LANDFORMS;96.66666666666667;0.9666666666666667;0.21084230031853216;LANDFORMS;29
4;30;LANDFORMS;96.66666666666667;0.9666666666666667;0.21084230031853216;VEHICLE;1
5;44;LANDFORMS;95.45454545454545;0.9545454545454546;0.31221953325757146;CULTURAL ECOSYSTEM SERVICES;1
5;44;LANDFORMS;95.45454545454545;0.9545454545454546;0.31221953325757146;HERITAGE AND CULTURE;1
5;44;LANDFORMS;95.45454545454545;0.9545454545454546;0.31221953325757146;LANDFORMS;42
6;48;LANDFORMS;100.0;1.0;0.0;LANDFORMS;48
7;29;LANDFORMS;100.0;1.0;0.0;LANDFORMS;29
8;30;LANDFORMS;86.66666666666667;0.8666666666666667;0.5665095065529053;Cultural Ecosystem Services;4
8;30;LANDFORMS;86.66666666666667;0.8666666666666667;0.5665095065529053;LANDFORMS;26
9;53;LANDFORMS;96.22641509433963;0.9622641509433962;0.26954889908119395;Cultural Ecosystem Services;1
9;53;LANDFORMS;96.22641509433963;0.9622641509433962;0.26954889908119395;LANDFORMS;51
9;53;LANDFORMS;96.22641509433963;0.9622641509433962;0.26954889908119395;Vehicle;1
10;63;LANDFORMS;100.0;1.0;0.0;LANDFORMS;63
11;44;LANDFORMS;100.0;1.0;0.0;LANDFORMS;44
12;34;LANDFORMS;100.0;1.0;0.0;LANDFORMS;34
13;47;LANDFORMS;89.36170212765957;0.8936170212765957;0.5657094525987452;CULTURAL ECOSYSTEM SERVICES;4
13;47;LANDFORMS;89.36170212765957;0.8936170212765957;0.5657094525987452;LANDFORMS;42
13;47;LANDFORMS;89.36170212765957;0.8936170212765957;0.5657094525987452;VEHICLE;1
14;44;LANDFORMS;100.0;1.0;0.0;LANDFORMS;44
15;25;LANDFORMS;92.0;0.92;0.48217919020227273;HERITAGE AND CULTURE;1
15;25;LANDFORMS;92.0;0.92;0.48217919020227273;LANDFORMS;23
15;25;LANDFORMS;92.0;0.92;0.48217919020227273;Sports;1
16;38;LANDFORMS;97.36842105263158;0.9736842105263158;0.17556502585750278;Insect;1
16;38;LANDFORMS;97.36842105263158;0.9736842105263158;0.17556502585750278;LANDFORMS;37
17;26;LANDFORMS;100.0;1.0;0.0;LANDFORMS;26
18;25;LANDFORMS;100.0;1.0;0.0;LANDFORMS;25
19;45;LANDFORMS;97.77777777777777;0.9777777777777777;0.15374218032876188;HERITAGE AND CULTURE;1
19;45;LANDFORMS;97.77777777777777;0.9777777777777777;0.15374218032876188;LANDFORMS;44
20;34;LANDFORMS;55.88235294117647;0.5588235294117647;1.1458866158316752;Cultural Ecosystem Services;14
20;34;LANDFORMS;55.88235294117647;0.5588235294117647;1.1458866158316752;HERITAGE AND CULTURE;1
20;34;LANDFORMS;55.88235294117647;0.5588235294117647;1.1458866158316752;LANDFORMS;19
21;17;LANDFORMS;70.58823529411765;0.7058823529411765;0.8739810481273579;Cultural Ecosystem Services;5
21;17;LANDFORMS;70.58823529411765;0.7058823529411765;0.8739810481273579;LANDFORMS;12
22;33;LANDFORMS;96.96969696969697;0.9696969696969697;0.19590927087360493;HERITAGE AND CULTURE;1
22;33;LANDFORMS;96.96969696969697;0.9696969696969697;0.19590927087360493;LANDFORMS;32
23;35;LANDFORMS;100.0;1.0;0.0;LANDFORMS;35
24;35;LANDFORMS;100.0;1.0;0.0;LANDFORMS;35
25;41;LANDFORMS;100.0;1.0;0.0;LANDFORMS;41
26;29;LANDFORMS;100.0;1.0;0.0;LANDFORMS;29
27;33;LANDFORMS;100.0;1.0;0.0;LANDFORMS;33
28;36;LANDFORMS;97.22222222222221;0.9722222222222222;0.1831220683013728;HERITAGE AND CULTURE;1
28;36;LANDFORMS;97.22222222222221;0.9722222222222222;0.1831220683013728;LANDFORMS;35
29;31;LANDFORMS;100.0;1.0;0.0;LANDFORMS;31
30;19;LANDFORMS;100.0;1.0;0.0;LANDFORMS;19
31;31;LANDFORMS;90.32258064516128;0.9032258064516129;0.45868581620054033;LANDFORMS;28
31;31;LANDFORMS;90.32258064516128;0.9032258064516129;0.45868581620054033;Lighthouse;3
32;47;LANDFORMS;59.57446808510638;0.5957446808510638;1.2121887214889422;CULTURAL ECOSYSTEM SERVICES;1
32;47;LANDFORMS;59.57446808510638;0.5957446808510638;1.2121887214889422;CULTURE;1
32;47;LANDFORMS;59.57446808510638;0.5957446808510638;1.2121887214889422;Cultural Ecosystem Services;17
32;47;LANDFORMS;59.57446808510638;0.5957446808510638;1.2121887214889422;LANDFORMS;28
33;50;LANDFORMS;98.0;0.98;0.14144054254182067;Insect;1
33;50;LANDFORMS;98.0;0.98;0.14144054254182067;LANDFORMS;49
34;34;Cultural Ecosystem Services;61.76470588235294;0.6176470588235294;1.2553330270337444;Cultural Ecosystem Services;21
34;34;Cultural Ecosystem Services;61.76470588235294;0.6176470588235294;1.2553330270337444;HERITAGE AND CULTURE;1
34;34;Cultural Ecosystem Services;61.76470588235294;0.6176470588235294;1.2553330270337444;Heritage and Culture;1
34;34;Cultural Ecosystem Services;61.76470588235294;0.6176470588235294;1.2553330270337444;LANDFORMS;11
35;48;LANDFORMS;83.33333333333334;0.8333333333333334;0.9833557549816875;26;1
35;48;LANDFORMS;83.33333333333334;0.8333333333333334;0.9833557549816875;ATESEKI;1
35;48;LANDFORMS;83.33333333333334;0.8333333333333334;0.9833557549816875;Cultural ecosystem services;1
35;48;LANDFORMS;83.33333333333334;0.8333333333333334;0.9833557549816875;HERITAGE AND CULTURE;4
35;48;LANDFORMS;83.33333333333334;0.8333333333333334;0.9833557549816875;KIPSTA;1
35;48;LANDFORMS;83.33333333333334;0.8333333333333334;0.9833557549816875;LANDFORMS;40
36;39;AIR ACTIVITIES;97.43589743589743;0.9743589743589743;0.17203694935311378;AIR ACTIVITIES;38
36;39;AIR ACTIVITIES;97.43589743589743;0.9743589743589743;0.17203694935311378;LANDFORMS;1
37;21;LANDFORMS;95.23809523809523;0.9523809523809523;0.2761954276479391;HERITAGE AND CULTURE;1
37;21;LANDFORMS;95.23809523809523;0.9523809523809523;0.2761954276479391;LANDFORMS;20
